name,years,reviews,employee,rating,type,highly_rated_for
Ceat Tyres,65 years old,2.2k,5k-10k Employees,4.0,Auto Components,"Job Security, Company Culture, Skill Development / Learning"
Indian Oil Corporation,64 years old,2.2k,10k-50k Employees,4.4,Oil & Gas,"Company Culture, Work Life Balance, Job Security"
Kotak Mahindara Life Insurance,22 years old,2.2k,10k-50k Employees,3.8,Insurance,Job Security
GeBBS Healthcare Solutions,Culver City +13 more,2.2k,5k-10k Employees,3.7,BPO,"Job Security, Skill Development / Learning"
Dabur,139 years old,2.2k,5k-10k Employees,3.8,FMCG,null
PNB MetLife,22 years old,2.2k,5k-10k Employees,3.5,Insurance,null
Reliance Digital,Mumbai +280 more,2.2k,5k-10k Employees,4.2,Retail,"Job Security, Skill Development / Learning, Company Culture"
ACC,87 years old,2.1k,5k-10k Employees,3.9,Building Material,null
JK Cement,49 years old,2.1k,1k-5k Employees,4.1,Building Material,"Salary & Benefits, Job Security, Company Culture"
S&P Global,106 years old,2.1k,5k-10k Employees,4.2,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security"
Marpu Foundation,Hyderabad/Secunderabad +44 more,2.1k,11-50 Employees,4.9,Non-Profit,"Company Culture, Work Satisfaction, Skill Development / Learning"
IndiGo,18 years old,2.1k,10k-50k Employees,3.6,Aviation,null
